Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L329,Tecnologias Digitais e Segurança de Informação,Tecnologias Digitais e Segurança de Informação,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L329&code=6810
Público Universitário,0140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,9022,Ciências Agrárias,Ciências Agrárias,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9022&code=0140
Público Universitário,0140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,8031,Ciências Farmacêuticas (Preparatórios),Ciências Farmacêuticas (Preparatórios),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8031&code=0140
Público Universitário,0140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,9099,Engenharia do Ambiente,Engenharia do Ambiente,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9099&code=0140
Público Universitário,0140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,8086,Medicina Veterinária (Preparatórios),Medicina Veterinária (Preparatórios),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8086&code=0140
Público Universitário,0140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,L121,Natureza e Património,Natureza e Património,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L121&code=0140
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,8082,Arquitetura (Preparatórios),Arquitetura (Preparatórios),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8082&code=0150
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9652,Comunicação e Relações Públicas,Comunicação e Relações Públicas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9652&code=0150
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9853,Educação Básica,Educação Básica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9853&code=0150
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9135,Estudos Europeus,Estudos Europeus,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9135&code=0150
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,L041,Estudos Portugueses e Ingleses,Estudos Portugueses e Ingleses,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L041&code=0150
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9181,História,História,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9181&code=0150
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9219,Psicologia,Psicologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9219&code=0150
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9238,Serviço Social,Serviço Social,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9238&code=0150
Público Universitário,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9240,Sociologia,Sociologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9240&code=0150
Público Universitário,0160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,9011,Biologia,Biologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9011&code=0160
Público Universitário,0160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,8083,Ciclo Básico de Medicina,Ciclo Básico de Medicina,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8083&code=0160
Público Universitário,0160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,8571,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8571&code=0160
Público Universitário,0160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,9041,Ciências do Mar,Ciências do Mar,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9041&code=0160
Público Universitário,0160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,9185,Informática,Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9185&code=0160
Público Universitário,0160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,8524,Proteção Civil e Gestão de Riscos,Proteção Civil e Gestão de Riscos,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8524&code=0160
Público Universitário,0170,Universidade dos Açores - Faculdade de Economia e Gestão,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=0170
Público Universitário,0170,Universidade dos Açores - Faculdade de Economia e Gestão,9147,Gestão,Gestão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9147&code=0170
Público Universitário,0170,Universidade dos Açores - Faculdade de Economia e Gestão,9254,Turismo,Turismo,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9254&code=0170
Público Universitário,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,9817,Artes Visuais,Artes Visuais,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9817&code=0201
Público Universitário,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,9821,Ciências da Educação e da Formação,Ciências da Educação e da Formação,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9821&code=0201
Público Universitário,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,L252,Línguas e Comunicação Intercultural,Línguas e Comunicação Intercultural,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L252&code=0201
Público Universitário,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,9204,"Línguas, Literaturas e Culturas","Línguas, Literaturas e Culturas",https://www.dges.gov.pt/guias/detcursopi.asp?codc=9204&code=0201
Público Universitário,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,8509,Património Cultural e Arqueologia,Património Cultural e Arqueologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8509&code=0201
Público Universitário,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,9219,Psicologia,Psicologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9219&code=0201
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9003,Agronomia,Agronomia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9003&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,8258,Arquitetura Paisagista,Arquitetura Paisagista,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8258&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9540,Bioengenharia,Bioengenharia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9540&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9011,Biologia,Biologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9011&code=0203
