Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe,Provas_ingresso,Ano_nota,Nota_1fase,Nota_2fase
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,9240,Sociologia,Sociologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9240&code=6800,"{'Uma das seguintes provas': ['História', 'Matemática', 'Português']}",2023,"154,0","152,5"
Público Universitário,6800,ISCTE - Instituto Universitário de Lisboa,8109,Sociologia (regime pós-laboral),Sociologia (regime pós-laboral),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8109&code=6800,"{'Uma das seguintes provas': ['História', 'Matemática', 'Português']}",2023,"134,0","143,0"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L278,Desenvolvimento de Software e Aplicações,Desenvolvimento de Software e Aplicações,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L278&code=6810,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Física e Química', 'Matemática A'], ['Matemática A', 'Português']]}",2023,"143,6","139,6"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L321,Matemática Aplicada e Tecnologias Digitais,Matemática Aplicada e Tecnologias Digitais,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L321&code=6810,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Biologia e Geologia', 'Matemática A'], ['Matemática A', 'Português']]}",,,
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L274,"Política, Economia e Sociedade","Política, Economia e Sociedade",https://www.dges.gov.pt/guias/detcursopi.asp?codc=L274&code=6810,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Economia', 'Matemática A'], ['Mat. Apl. Ciências Soc.', 'Português']]}",2023,"152,4","152,4"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L273,Tecnologias Digitais e Automação,Tecnologias Digitais e Automação,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L273&code=6810,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Economia', 'Matemática A'], ['Matemática A', 'Português']]}",2023,"133,6","146,6"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L311,"Tecnologias Digitais, Edifícios e Construção Sustentável","Tecnologias Digitais, Edifícios e Construção Sustentável",https://www.dges.gov.pt/guias/detcursopi.asp?codc=L311&code=6810,"{'Um dos seguintes conjuntos': [['Matemática'], ['Geometria Descritiva', 'Matemática'], ['Desenho', 'Matemática']]}",2023,"118,4","145,8"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L281,Tecnologias Digitais Educativas,Tecnologias Digitais Educativas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L281&code=6810,"{'Um dos seguintes conjuntos': [['Português'], ['História', 'Português'], ['Hist. da Cultura e Artes', 'Português']]}",2023,"140,4","139,2"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L280,Tecnologias Digitais e Gestão,Tecnologias Digitais e Gestão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L280&code=6810,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Economia', 'Matemática A'], ['Matemática A', 'Português']]}",2023,"157,4","157,8"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L277,Tecnologias Digitais e Inteligência Artificial,Tecnologias Digitais e Inteligência Artificial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L277&code=6810,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Física e Química', 'Matemática A'], ['Matemática A', 'Português']]}",2023,"148,6","149,2"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L282,Tecnologias Digitais e Saúde,Tecnologias Digitais e Saúde,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L282&code=6810,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Biologia e Geologia', 'Matemática A'], ['Matemática A', 'Português']]}",2023,"137,6","142,8"
Público Universitário,6810,ISCTE - Instituto Universitário de Lisboa (Sintra),L329,Tecnologias Digitais e Segurança de Informação,Tecnologias Digitais e Segurança de Informação,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L329&code=6810,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Física e Química', 'Matemática A'], ['Matemática A', 'Português']]}",,,
Público Universitário,140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,9022,Ciências Agrárias,Ciências Agrárias,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9022&code=0140,"{'Um dos seguintes conjuntos': [['Biologia e Geologia'], ['Biologia e Geologia', 'Física e Química'], ['Biologia e Geologia', 'Matemática']]}",2023,"128,4","122,4"
Público Universitário,140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,8031,Ciências Farmacêuticas (Preparatórios),Ciências Farmacêuticas (Preparatórios),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8031&code=0140,"{'As seguintes provas': ['Biologia e Geologia', 'Física e Química']}",2023,"151,8",
Público Universitário,140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,9099,Engenharia do Ambiente,Engenharia do Ambiente,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9099&code=0140,"{'Um dos seguintes conjuntos': [['Biologia e Geologia', 'Matemática A'], ['Física e Química', 'Matemática A']]}",,,
Público Universitário,140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,8086,Medicina Veterinária (Preparatórios),Medicina Veterinária (Preparatórios),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8086&code=0140,"{'As seguintes provas': ['Biologia e Geologia', 'Física e Química']}",2023,"163,9",
Público Universitário,140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,L121,Natureza e Património,Natureza e Património,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L121&code=0140,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Geografia', 'História']}",2023,,
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,8082,Arquitetura (Preparatórios),Arquitetura (Preparatórios),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8082&code=0150,{'As seguintes provas': ['Geometria Descritiva']},,,
